Molecular_Name,SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3
Aromatic_11,Ic1ccc(C(=O)O)cc1,10.0,10.0,10.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,248.019,69.17745000000002,44.76,2.808846595923624,0.0113251266419044,37.3,1.9894,46.11830000000001,0.0,3.585257860975536,0.3351794788833096,-0.4776392437670754,-5.551115123125783e-18,1.0,1.0,0.0,3.003400684579817,240.2879489264805,-0.5800000000000001,1.6981221612425348
Aromatic_12,CCCc1ccccc1,9.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,120.19499999999996,60.65550000000002,0.0,2.3724562279630264,0.0197383935124142,0.0,2.639100000000001,40.43700000000001,0.3333333333333333,1.98160097630716,0.0625603380770179,-0.0650654381445557,3.469446951953614e-18,1.0,1.0,0.0,2.61489994009295,152.9490957526401,-0.78,1.8835467848238945
Aromatic_13,Fc1ccc(OC)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,126.12999999999998,49.42799999999998,11.076,2.263175957717806,0.0179432009813256,9.23,1.8343,32.95199999999999,0.1428571428571428,2.5517924546452937,0.1229780095304186,-0.4967649666806462,1.3010426069826053e-18,1.0,1.0,0.0,2.8815558776461354,180.61256853719755,-1.05,1.4202570838806534
Aromatic_14,C(=O)Oc1ccc(NC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,151.165,64.02105000000003,45.996,2.648317706849208,0.0175193840461073,38.33,1.2634999999999998,42.680700000000016,0.125,2.3611764824042005,0.2979959828820998,-0.4287619196856304,-2.1033522146218784e-18,1.0,1.0,0.0,2.7366739543410024,230.35230342705088,-1.5099999999999998,1.9650480959181804
Aromatic_15,CCCc1ccc(NC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,149.237,74.97555000000004,14.435999999999998,2.8626678000819985,0.0191820244369692,12.03,2.6808000000000005,49.98370000000003,0.4,1.9904755351514511,0.1597001781515692,-0.3881218021609445,1.751403509399661e-18,1.0,1.0,0.0,2.664537066654608,200.6176913996566,-0.98,2.261438255111406
Aromatic_16,NCc1ccc(C(=O)N)cc1,11.0,11.0,11.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,150.181,64.27695000000001,82.932,2.653761850166833,0.0176704232392673,69.11,0.2441999999999998,42.85130000000001,0.125,2.3364673909314706,0.2481954648304592,-0.3655995093123425,-6.60847038467355e-19,1.0,1.0,0.0,2.9138015626758045,253.2994975838911,-1.35,1.782313713613438
Aromatic_17,Nc1ccc(O)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,109.128,48.7788,55.5,2.00849996869787,0.0184049918471233,46.25,0.9744,32.5192,0.0,2.237201361304473,0.2930920966101822,-0.5079643210254035,2.312964634635743e-18,1.0,1.0,0.0,3.0324555320336755,147.38833891467198,-1.1800000000000002,0.90414189560934
Aromatic_18,OCc1ccc(Cl)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,142.585,56.06220000000002,24.276,2.4618073321511624,0.0172655420618271,20.23,1.8323,37.374800000000015,0.1428571428571428,2.5433357495186457,0.2105281974300624,-0.3916804544090825,4.33680868994202e-19,1.0,1.0,0.0,2.881555877646136,180.61256853719752,-0.53,1.6989023562471834
Aromatic_19,C(=O)Nc1ccc([N+](=O)[O-])cc1,12.0,12.0,12.0,3.0,1.0,0.0,5.0,1.0,3.0,0.0,166.136,64.17465000000001,86.68799999999999,2.7771432691197533,0.0167160835243635,72.24,1.1631,42.78310000000001,0.0,2.588810338836123,0.2690754581844896,-0.3286894736493008,1.0793834961633468e-17,1.0,1.0,0.0,2.846340723505505,294.024727511699,-1.91,1.7859221037811126
Aromatic_20,c1ccc2c(c1)ccc3ccccc23,14.0,14.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,178.23399999999998,92.18100000000004,0.0,2.6169544534418376,0.0146826892666895,0.0,3.993000000000002,61.45400000000004,0.0,1.9335220714298804,0.0629462126496244,-0.0616289927108002,-1.734723475976807e-18,3.0,3.0,0.0,2.610318687415942,539.0090985891403,-1.82,1.0075406225733212
