SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
Nc1ccc(C(=O)O)cc1,10,10,10,1,1,0,3,2,2,0,137.138,56.72055,75.984,2.402620788,0.01751973,63.32,0.967,37.8137,0.0,2.417783283,0.335180834,-0.477639236,-8.16e-19,1,1,0,3.003400685,240.2879489,-1.51,1.253904639,428.01189999999986
Fc1ccc(C(=O)O)cc1,10,10,10,1,1,0,3,1,1,0,140.113,50.03895,44.76,2.402797661,0.017148999,37.3,1.5239,33.3593,0.0,2.800078683,0.335181734,-0.477639231,-1.25e-17,1,1,0,3.003400685,240.2879489,-1.38,1.312840333,400.3252604166667
Nc1ccc(F)cc1,8,8,8,0,1,0,2,1,1,0,111.119,46.2186,31.224,2.005917208,0.018051973,26.02,1.4079,30.8124,0.0,2.404205181,0.15621577,-0.398726079,2.48e-18,1,1,0,3.032455532,147.3883389,-1.05,0.964169346,277.468558333333
Fc1ccc(C(=O)N)cc1,10,10,10,1,1,0,3,1,1,0,139.129,52.37685,51.708,2.406449148,0.017296531,43.09,0.9246,34.9179,0.0,2.656307077,0.248198589,-0.365599488,8.24e-18,1,1,0,3.003400685,242.2879489,-1.38,1.312840333,408.47047708333344
Brc1ccccc1,7,7,7,0,1,0,1,0,0,0,157.01,51.213,0.0,1.971795915,0.01255841,0.0,2.4491,34.142,0.0,3.065823071,0.063459267,-0.062189991,3.76e-18,1,1,0,3.02146531,134.1073697,-0.3,1.316124136,239.85847142857125
CCc1ccc(N)cc1,9,9,9,1,1,0,1,1,1,0,121.183,60.3486,31.224,2.27074985,0.018738188,26.02,1.8312,40.2324,0.25,2.008049863,0.156215748,-0.398728562,6.94e-19,1,1,0,2.881555878,176.264053,-0.98,1.456737692,313.6681583333332
Clc1ccc(I)cc1,8,8,8,0,1,0,2,0,0,0,238.455,66.2535,0.0,2.602413618,0.010913647,0.0,2.9446,44.169,0.0,3.599130558,0.063877822,-0.084343218,4.19e-18,1,1,0,3.032455532,147.3883389,0.24,1.633981934,319.91047892857137
Ic1ccc(Cl)cc1,8,8,8,0,1,0,2,0,0,0,238.455,66.2535,0.0,2.6024137,0.010913647,0.0,2.9446,44.169,0.0,3.599130558,0.063877822,-0.084343218,4.19e-18,1,1,0,3.032455532,147.3883389,0.24,1.633981934,319.91047892857137
Brc1ccc(NC)cc1,9,9,9,1,1,0,2,1,1,0,186.052,65.53305,14.436,2.597429425,0.013960771,12.03,2.4908,43.6887,0.142857143,2.839055975,0.159700185,-0.388121025,-3.42e-18,1,1,0,2.881555878,180.6125685,-0.5,1.715500945,338.2666866666667
Brc1ccc(F)cc1,8,8,8,0,1,0,2,0,0,0,175.0,51.15,0.0,2.303349154,0.013161995,0.0,2.5882,34.1,0.0,3.421309806,0.122786396,-0.207011141,-2.89e-18,1,1,0,3.032455532,147.3883389,-0.37,1.301420977,317.54106226190476
